#,Tênis Verde,IMDB,Título,1a. Vez,Última Vez,Vezes,Nota
87,enterrado-vivo,tt0274486,Enterrado vivo,2010-12-10,2010-12-10,1,4
86,tron,tt0084827,Tron Uma Odisséia Eletrônica,2010-12-04,2010-12-04,1,3
85,skyline-a-invasao,tt1564585,Skyline A Invasão,2010-12-03,2010-12-03,1,4
84,o-garoto-de-liverpool,tt1266029,O Garoto de Liverpool,2010-12-03,2010-12-03,1,3
83,megamente,tt1001526,Megamente,2010-12-03,2010-12-03,1,3
82,a-rede-social,tt1285016,A Rede Social,2010-12-03,2010-12-03,1,4
81,voce-vai-conhecer-o-homem-dos-seus-sonhos,tt1182350,Você Vai Conhecer o Homem dos Seus Sonhos,2010-11-26,2010-11-26,1,3
80,senna,tt1424432,Senna,2010-11-26,2010-11-26,1,5
79,os-intocaveis,tt0094226,Os Intocáveis,2010-11-20,2010-11-20,1,5
78,o-encouracado-potemkin,tt0015648,O Couraçado Potemkin,2010-11-20,2010-11-20,1,4
77,muita-calma-nessa-hora,tt1781866,Muita Calma Nessa Hora,2010-11-20,2010-11-20,1,4
76,um-homem-misterioso,tt1440728,Um Homem Misterioso,2010-11-19,2010-11-19,1,5
75,harry-potter-e-as-reliquias-da-morte-parte-1,tt0926084,Harry Potter e as Relíquias da Morte Parte 1,2010-11-19,2010-11-19,1,5
74,o-imperio-dos-sentidos,tt0074102,O Império dos Sentidos,2010-11-13,2010-11-13,1,4
73,red-aposentados-e-perigosos,tt1245526,Red Aposentados e Perigosos,2010-11-12,2010-11-12,1,3
72,atividade-paranormal-2,tt1536044,Atividade Paranormal 2,2010-11-07,2010-11-07,1,3
71,pink-floyd-the-wall,tt0084503,Pink Floyd The Wall,2010-11-06,2010-11-06,1,4
70,as-quatro-voltas,tt1646975,As Quatro Voltas,2010-11-06,2010-11-06,1,3
69,jose-e-pilar,tt1789810,José e Pilar,2010-11-05,2010-11-05,1,5
68,o-atleta,tt1130965,O Atleta,2010-11-04,2010-11-04,1,5
67,vc-ta-ai,tt1443518,Vc Tá Aí?,2010-11-01,2010-11-01,1,3
66,vamos-nos-conformar,tt2186866,Vamos nos Conformar,2010-11-01,2010-11-01,1,3
65,cirkus-columbia,tt1417067,Circus Columbia,2010-11-01,2010-11-01,1,5
64,cargo,tt0381940,Cargo,2010-11-01,2010-11-01,1,3
63,a-suprema-felicidade,tt1720038,A Suprema Felicidade,2010-10-29,2010-10-29,1,3
62,o-magico,tt0775489,O Mágico,2010-10-27,2010-10-27,1,3
61,broder,tt1679538,Bróder,2010-10-26,2010-10-26,1,3
60,suecia-hoje,tt1594460,Suécia Hoje,2010-10-23,2010-10-23,1,3
59,as-cronicas-de-narnia-a-viagem-do-peregrino-da-alvorada,tt0980970,As Crônicas de Nárnia A Viagem do Peregrino da Alvorada,2010-10-21,2010-10-21,1,3
58,curva-do-destino,tt0037638,A Curva do Destino,2010-10-13,2010-10-13,1,4
57,machete,tt0985694,Machete,2010-10-10,2010-10-10,1,2
56,tropa-de-elite-2,tt1555149,Tropa de Elite 2 O Inimigo Agora É Outro,2010-10-08,2010-10-08,1,5
55,dois-irmaos,tt1576382,Dois Irmãos,2010-10-08,2010-10-08,1,4
54,uma-carta-para-elia,tt0808245,A Letter to Elia,2010-10-04,2010-10-04,1,3
53,comer-rezar-amar,tt0879870,Comer Rezar Amar,2010-10-01,2010-10-01,1,3
52,tropa-de-elite,tt0861739,Tropa de Elite,2010-09-25,2010-09-25,1,5
51,wall-street-o-dinheiro-nunca-dorme,tt1027718,Wall Street O Dinheiro Nunca Dorme,2010-09-24,2010-09-24,1,4
50,o-ultimo-exorcismo,tt1320244,O Último Exorcismo,2010-09-24,2010-09-24,1,4
49,moscou-belgica,tt0948530,Moscow Belgium,2010-09-24,2010-09-24,1,5
48,gente-grande,tt1375670,Gente Grande,2010-09-24,2010-09-24,1,3
47,baaria-a-porta-do-vento,tt1081935,Baarìa A Porta do Vento,2010-09-17,2010-09-17,1,3
46,amor-a-distancia,tt1322312,Amor à Distância,2010-09-10,2010-09-10,1,3
45,a-ressaca,tt1231587,A Ressaca,2010-09-10,2010-09-10,1,3
44,kill-bill-volume-2,tt0378194,Kill Bill Volume 2,2010-09-09,2010-09-09,1,5
43,kill-bill-volume-1,tt0266697,Kill Bill Volume 1,2010-09-09,2010-09-09,1,5
42,nosso-lar,tt1467388,Nosso Lar,2010-09-03,2010-09-03,1,3
41,envim-viuva,tt1024899,Enfim Viúva,2010-09-03,2010-09-03,1,4
